run_id,timestamp,config,outage_s,final_pos_error_m,pct_of_distance,cep50_m,cep95_m,along_track_m,cross_track_m,heading_error_deg,outage_id,split,source_side,has_ground_truth,skip_reason
vw10,2026-09-09T00:14:10Z,baseline_cv_heading_v1,10,83.5756,63.0952,33.1749,78.4897,-55.4656,-62.5178,53.0082,1,test,phone,True,
vw11,2026-09-09T00:14:10Z,baseline_cv_heading_v1,10,16.3991,18.2569,12.643,19.9534,-15.7603,4.5326,1.4949,1,test,phone,True,
vw11,2026-09-09T00:14:10Z,baseline_cv_heading_v1,120,794.471,52.8423,579.9266,789.3039,-351.6768,-712.4007,26.7562,2,test,phone,True,
vw11,2026-09-09T00:14:10Z,baseline_cv_heading_v1,60,1087.1999,231.9291,439.9138,1020.8257,977.8016,-475.3018,9.2734,3,test,phone,True,
vw11,2026-09-09T00:14:10Z,baseline_cv_heading_v1,30,263.5204,35.7621,107.9646,243.6034,-187.3989,-185.2682,29.4291,4,test,phone,True,
vw12,2026-09-09T00:14:10Z,baseline_cv_heading_v1,10,12.3822,4.6415,7.9596,12.254,0.527,-12.371,0.8136,1,test,phone,True,
vw12,2026-09-09T00:14:10Z,baseline_cv_heading_v1,30,91.8992,12.8606,41.1939,88.5406,-3.4774,-91.8333,2.2176,2,test,phone,True,
vw14a,2026-09-09T00:14:10Z,baseline_cv_heading_v1,60,336.6432,23.5505,205.617,316.8385,-167.3315,-292.1125,22.0025,1,test,phone,True,
vw14a,2026-09-09T00:14:10Z,baseline_cv_heading_v1,30,139.6571,17.5541,46.1602,127.1235,-132.5264,-44.0529,18.561,2,test,phone,True,
vw14a,2026-09-09T00:14:10Z,baseline_cv_heading_v1,10,56.1492,23.2151,17.8169,52.2831,-13.5097,-54.4999,19.5815,3,test,phone,True,
vw14b,2026-09-09T00:14:10Z,baseline_cv_heading_v1,120,589.1255,19.7684,290.4593,551.0903,583.0899,84.0791,7.8973,1,test,phone,True,
vw14b,2026-09-09T00:14:10Z,baseline_cv_heading_v1,60,563.2811,38.2939,103.9359,519.1703,-12.8313,563.1338,35.8762,2,test,phone,True,
vw14b,2026-09-09T00:14:10Z,baseline_cv_heading_v1,10,49.2194,22.5474,3.1906,44.9933,-9.8669,48.2202,21.2735,3,test,phone,True,
vw14b,2026-09-09T00:14:10Z,baseline_cv_heading_v1,30,171.3266,25.9379,111.8561,165.6709,22.9382,169.7836,9.4336,4,test,phone,True,
vw14b,2026-09-09T00:14:10Z,baseline_cv_heading_v1,180,1095.1113,46.1708,468.7672,987.9512,-1090.9212,-95.4275,48.9902,5,test,phone,True,
vw14c,2026-09-09T00:14:10Z,baseline_cv_heading_v1,10,16.3835,36.6919,5.4243,15.1593,-5.9863,-15.2506,25.3393,1,test,phone,True,
vw14c,2026-09-09T00:14:10Z,baseline_cv_heading_v1,120,1435.2007,94.8914,490.8756,1295.1942,-1431.2353,-105.8361,,2,test,phone,True,
vw14c,2026-09-09T00:14:10Z,baseline_cv_heading_v1,30,63.8543,9.414,14.134,58.7147,-40.3104,-49.5221,10.7881,3,test,phone,True,
vw14c,2026-09-09T00:14:10Z,baseline_cv_heading_v1,180,2960.3787,102.5108,1064.9065,2749.0501,-1035.3745,2773.0508,87.0711,4,test,phone,True,
