config,outage_s,n_paired,median_final_pos_error_m,p95_final_pos_error_m,median_pct_of_distance,p95_pct_of_distance,median_heading_error_deg
baseline_cv_heading_v1,10,17,38.2602,71.0322,23.2151,111.5149,21.8898
baseline_cv_heading_v1,30,14,176.2699,343.5829,39.2485,133.3676,22.312
baseline_cv_heading_v1,60,9,513.798,945.6774,44.1464,175.331,32.0294
baseline_cv_heading_v1,120,7,794.471,2381.0359,52.8423,104.2319,20.2317
baseline_cv_heading_v1,180,4,1685.1021,2857.5858,67.9595,100.5964,57.1205
baseline_strapdown_v1,10,17,40.3719,80.3594,23.5922,158.6639,21.8898
baseline_strapdown_v1,30,14,232.2561,435.0184,37.3436,150.6899,22.312
baseline_strapdown_v1,60,9,489.4651,1214.886,58.3402,233.1047,28.1827
baseline_strapdown_v1,120,7,1533.7168,2704.7184,83.6426,119.7704,20.2317
baseline_strapdown_v1,180,4,2843.7733,4700.0229,116.8211,166.6156,57.1205
inav_ai_ukf_v1,10,17,46.1943,77.4541,34.1167,87.4737,15.2385
inav_ai_ukf_v1,30,14,279.456,424.7707,49.7646,123.3362,27.6639
inav_ai_ukf_v1,60,9,639.147,910.6442,51.1535,123.7303,42.4966
inav_ai_ukf_v1,120,7,1579.1605,2490.8911,49.425,122.6457,34.7795
inav_ai_ukf_v1,180,4,1164.651,2859.2139,51.8254,111.6877,38.0115
inav_spectra_esekf_v2,10,17,42.2195,68.4118,26.2765,120.4211,15.0198
inav_spectra_esekf_v2,30,14,324.9597,439.6253,51.9215,143.6452,26.42
inav_spectra_esekf_v2,60,9,758.2402,855.4333,67.9255,122.0532,38.4619
inav_spectra_esekf_v2,120,7,1854.9257,3530.4365,58.0559,148.4633,34.8432
inav_spectra_esekf_v2,180,4,1307.2996,2823.9645,49.2649,110.2768,39.1685
